TOTAL_REGISTOS,ESCOLA,INEP,ANO,VALOR_DESTINADO
1,CIEP 208 ALCEU AMOROSO LIMA,33049700,2019,"R$    15.000,00"
1,EE PADRE ARLINDO IGNACIO DE OLIVEIRA,51089432,2019,"R$     9.960,00"
1,EE PRESIDENTE TANCREDO DE ALMEIDA NEVES,31020265,2019,"R$    12.000,00"
1,ESCOLA ESTADUAL SATURNINO MARAES NETO,13096656,2018,"R$    15.000,00"
1,ESC EST ENS FUN GASTON AUGUSTO SANTOS CESAR CIEP,43171605,2019,"R$    12.000,00"
1,ATALIBA PIRES DO AMARAL PROFESSOR,35049529,2019,"R$    12.000,00"
2,ESCOLA ESTADUAL ALMIRANTE ERNESTO MELLO BAPTISTA,13030183,2019,"R$    15.000,00"
1,CE MARIANO PROCOPIO,33016836,2019,"R$    12.000,00"
1,ESCOLA ESTADUAL PROFESSORA EDITE MACHADO,27027082,2019,"R$    12.000,00"
1,CENTRO EDUC MUN JACKSON RIBEIRO DE MIRANDA,29409721,2018,"R$     9.960,00"
1,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL DO CHOCOLATE NELSON SCHAUN,29301483,2019,"R$    18.000,00"
1,E M MENINOS DE DEUS,33059896,2019,"R$    12.000,00"
1,ESC INDIGENA TIKUNA MAITCHITUCU,13054694,2018,"R$     9.960,00"
1,EEM MARIANO MARTINS,23074060,2019,"R$    18.000,00"
1,DOMINGOS ZANLORENZI C E EF M PROFIS,41128915,2019,"R$    12.000,00"
1,CANDIDO JOSE NOGUEIRA EEF,23138408,2018,"R$    12.000,00"
1,EE EVA DAS DORES SANTOS,31024686,2019,"R$    12.000,00"
1,U E CALUZINHA FREIRE,22027963,2019,"R$    15.000,00"
1,ESCOLA MUNICIPAL MANOEL ANTONIO DE FREITAS,26126826,2019,"R$    12.000,00"
1,LAEL DE MOURA PRADO PROF,35001200,2019,"R$    15.000,00"
2,ESCOLA ESTADUAL ROSINA FERREIRA DA SILVA,13031171,2019,"R$    15.000,00"
1,COL ESTADUAL IRINEU EVANGELISTA DE SOUZA,43056164,2019,"R$    12.000,00"
1,EE DOUTOR OVIDIO DE ANDRADE,31191035,2018,"R$    15.000,00"
1,ATTICO EUSEBIO DA ROCHA C E D EF M,41127382,2019,"R$    15.000,00"
1,EE - COLEGIO ESTADUAL SOFIA MASCARENHAS,29029732,2019,"R$    15.000,00"
1,EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,29422345,2018,"R$    18.000,00"
1,ESCOLA MUNICIPAL DR JULIO QUEIROZ,27031756,2018,"R$    12.000,00"
1,ESCOLA MUNICIPAL PROFESSOR MANOEL ARTHIDORO DE CASTRO,31330281,2018,"R$    12.000,00"
1,ESCOLA ESTADUAL LUIZ GUIMARAES,28021754,2019,"R$    12.000,00"
1,ESC EST ENS FUN ITAIPAVA RAMOS,43050492,2019,"R$     9.960,00"
1,EE CAIO NELSON DE SENA,31147737,2018,"R$    15.000,00"
1,CENTRO DE ENSINO EM PERIODO INTEGRAL MARIA DE JESUS ALVES,52103900,2019,"R$    12.000,00"
